slug	name	package_group	attack_category	packages	description	url
netscanner	netscanner	utils		netscanner,netscanner	Network scanner & diagnostic tool with modern TUI Netscanner is a network scanning tool with features like: - List HW Interfaces - Switching active Interface for scanning & packet-dumping - WiFi networks scanning - WiFi signals strength (with charts)	https://www.kali.org/tools/netscanner/
netsed	netsed	utils		netsed,netsed	Network packet-altering stream editor NetSED is a small and handy utility designed to alter, in real time, the contents of packets forwarded through your network. It is really useful for network packet alteration, forging, or manipulation. NetSED supports: black-box protocol auditing - whenever there are two or more	https://www.kali.org/tools/netsed/
netsniff-ng	netsniff-ng	sniffing-spoofing	发现	netsniff-ng,astraceroute,bpfc,curvetun,flowtop,ifpps,mausezahn,netsniff-ng,trafgen	Linux network packet sniffer toolkit netsniff-ng is a high performance Linux network sniffer for packet inspection. It can be used for protocol analysis, reverse engineering or network debugging. The gain of performance is reached by ‘zero-copy’ mechanisms, so that the kernel does not need to copy packets from kernelspace to userspace. netsniff-ng toolkit currently consists of the following utilities:	https://www.kali.org/tools/netsniff-ng/
netw-ib-ox-ag	netw-ib-ox-ag	utils		netwag,netwag,netwag-doc,netwox,netwox,netwox-doc	Graphical frontend for netwox Netwag is a graphical front end for netwox which contains more than 200 tools. Netwag permits one to easily: search amongst tools proposed in netwox construct command line run tools	https://www.kali.org/tools/netw-ib-ox-ag/
nextnet	nextnet	utils		nextnet,nextnet	Pivot point discovery tool in Go This package contains a pivot point discovery tool written in Go.	https://www.kali.org/tools/nextnet/
nfs-utils	nfs-utils	information-gathering		libnfsidmap-dev,libnfsidmap1,nfs-common,mount.nfs,mount.nfs4,mountstats,nfsconf,nfsidmap,nfsiostat,nfsstat,rpc.gssd,rpc.idmapd,rpc.statd,rpc.svcgssd,rpcctl,rpcdebug,showmount,sm-notify,start-statd,umount.nfs,umount.nfs4,nfs-kernel-server,exportfs,fsidd,nfsdcld,nfsdclddb,nfsdclnts,nfsdctl,nfsref,rpc.mountd,rpc.nfsd	Header files and docs for libnfsidmap Contains the header files and documentation for libnfsidmap for use in developing applications that use the libnfsidmap library. libnfsidmap provides functions to map between NFSv4 names (which are of the form user@domain) and local uid’s and gid’s.	https://www.kali.org/tools/nfs-utils/
ngrep	ngrep	utils		ngrep,ngrep	Grep for network traffic ngrep strives to provide most of GNU grep’s common features, applying them to the network layer. ngrep is a pcap-aware tool that will allow you to specify extended regular expressions to match against data payloads of packets. It currently recognizes TCP, UDP and ICMP across Ethernet, PPP, SLIP and null interfaces, and	https://www.kali.org/tools/ngrep/
nikto	nikto	information-gathering	侦察	nikto,nikto,replay	Web server security scanner Nikto is a pluggable web server and CGI scanner written in Perl, using rfp’s LibWhisker to perform fast security or informational checks. Features: Easily updatable CSV-format checks database Output reports in plain text or HTML	https://www.kali.org/tools/nikto/
nipper-ng	nipper-ng	identify		nipper-ng,nipper	Device security configuration review tool Nipper-ng is the next generation of nippper, and will always remain free and open source. This software will be used to make observations about the security configurations of many different device types such as routers, firewalls, and switches of a network infrastructure. This is a fork from nipper 0.11.10 release of the GNUv3 GPL code.	https://www.kali.org/tools/nipper-ng/
nishang	nishang	web	执行	nishang,nishang	Collection of PowerShell scripts and payloads Nishang is a framework and collection of scripts and payloads which enables usage of PowerShell for offensive security and post exploitation during Penetration Tests. The scripts are written on the basis of requirement by the author during real Penetration Tests.	https://www.kali.org/tools/nishang/
nmap	nmap	information-gathering	侦察	ncat,ncat,ndiff,ndiff,nmap,nmap,nping,nmap-common,zenmap,zenmap	The Network Mapper Nmap is a utility for network exploration or security auditing. It supports ping scanning (determine which hosts are up), many port scanning techniques, version detection (determine service protocols and application versions listening behind ports), and TCP/IP fingerprinting (remote host OS or device identification). Nmap also	https://www.kali.org/tools/nmap/
nmapsi4	nmapsi4	utils		nmapsi4,nmapsi4	Graphical interface to nmap, the network scanner NmapSI4 is a complete Qt-based Gui with the design goal to provide a complete nmap interface for users, in order to manage all options of this power security net scanner.	https://www.kali.org/tools/nmapsi4/
nuclei	nuclei	information-gathering	侦察	nuclei,nuclei	Fast and customizable vulnerability scanner based on simple YAML based DSL This package contains a fast tool for configurable targeted scanning based on templates offering massive extensibility and ease of use. Nuclei is used to send requests across targets based on a template leading to zero false positives and providing fast scanning on large number of hosts. Nuclei offers scanning for a variety of protocols	https://www.kali.org/tools/nuclei/
obsidian	obsidian	utils	服务与其它工具	obsidian,obsidian	Private and flexible writing app that adapts to the way you think Obsidian stores notes on your device, so you can access them quickly, even offline. With hundreds of plugins and themes, you can shape Obsidian to fit your way of thinking. Obsidian uses open, non-proprietary files, so you’re never	https://www.kali.org/tools/obsidian/
oclgausscrack	oclgausscrack	passwords		oclgausscrack,gausscombinator,gaussfilter,oclgausscrack	Cracks verification hashes of the Gauss Virus The goal of the program is to crack the verification hash of the encrypted payload of the Gauss Virus. Uses OpenCL to accelerate the 10k MD5 loop Uses optimizations also used in oclHashcat-plus for maximum performance Able to handle multi-GPU setups (of the same type)	https://www.kali.org/tools/oclgausscrack/
odat	odat	utils		odat,odat	Oracle Database Attacking Tool This package contains the ODAT (Oracle Database Attacking Tool), an open source penetration testing tool that tests the security of Oracle Databases remotely. Usage examples of ODAT: You have an Oracle database listening remotely and want to find valid SIDs and credentials in order to connect to the database	https://www.kali.org/tools/odat/
offsec-courses	offsec-courses	utils		offsec-awae,offsec-awae-python2,offsec-exp100,offsec-exp301,offsec-pen300,offsec-pwk	Resources for OffSec’s AWAE/WEB-300 This is Kali Linux, the most advanced penetration testing and security auditing distribution. This metapackage depends on the resources required for OffSec’s AWAE/WEB-300/OSWE.	https://www.kali.org/tools/offsec-courses/
ohrwurm	ohrwurm	vulnerability	发现	ohrwurm,ohrwurm	RTP fuzzer ohrwurm is a small and simple RTP fuzzer that has been successfully tested on a small number of SIP phones. Features: - reads SIP messages to get information of the RTP port numbers	https://www.kali.org/tools/ohrwurm/
oletools	oletools	utils	资源开发	oletools,ezhexviewer,ftguess,mraptor,msodde,olebrowse,oledir,olefile,oleid,olemap,olemeta,oleobj,oletimes,olevba,pyxswf,rtfobj	Analyze MS OLE2 files and MS Office documents Tools to analyze Microsoft OLE2 files (also called Structured Storage, Compound File Binary Format or Compound Document File Format), such as Microsoft Office 97-2003 documents, MSI files or Outlook messages, mainly for malware analysis, forensics and debugging. It is based on the olefile parser.	https://www.kali.org/tools/oletools/
ollydbg	ollydbg	forensics	资源开发	ollydbg,ollydbg	32-bit assembler level analysing debugger OllyDbg is a 32-bit assembler level analysing debugger for Microsoft Windows. Emphasis on binary code analysis makes it particularly useful in cases where source is unavailable.	https://www.kali.org/tools/ollydbg/
onesixtyone	onesixtyone	information-gathering	发现	onesixtyone,onesixtyone	Fast and simple SNMP scanner onesixtyone is a simple SNMP scanner which sends SNMP requests for the sysDescr value asynchronously with user-adjustable sending times and then logs the responses which gives the description of the software running on the device. Running onesixtyone on a class B network (switched 100Mbs with 1Gbs	https://www.kali.org/tools/onesixtyone/
openocd	openocd	hardware		openocd,openocd	Open on-chip JTAG/SWD debug solution for embedded target devices OpenOCD aims to provide debugging, in-system programming and boundary-scan testing for embedded target devices. The debugger uses an IEEE 1149-1 compliant JTAG TAP bus master to access on-chip debug functionality available on ARM based microcontrollers or system-on-chip solutions. For MIPS systems the EJTAG interface is supported.	https://www.kali.org/tools/openocd/
openssh	openssh	utils		openssh-client,scp,scp,sftp,sftp,ssh,ssh,ssh-add,ssh-add,ssh-agent,ssh-agent,ssh-argv0,ssh-argv0,ssh-copy-id,ssh-copy-id,ssh-keyscan,ssh-keyscan,openssh-client-udeb,openssh-common,ssh-keygen,openssh-server,sshd,sshd,openssh-server-udeb,openssh-sftp-server,openssh-tests,ssh,ssh-askpass-gnome	Secure shell (SSH) client, for secure access to remote machines This is the portable version of OpenSSH, a free implementation of the Secure Shell protocol as specified by the IETF secsh working group. Ssh (Secure Shell) is a program for logging into a remote machine and for executing commands on a remote machine.	https://www.kali.org/tools/openssh/
openssh-ssh1	openssh-ssh1	utils		openssh-client-ssh1,scp1,ssh-keygen1,ssh1	Secure shell (SSH) client for legacy SSH1 protocol This is the portable version of OpenSSH, a free implementation of the Secure Shell protocol as specified by the IETF secsh working group. Ssh (Secure Shell) is a program for logging into a remote machine and for executing commands on a remote machine.	https://www.kali.org/tools/openssh-ssh1/
openssl	openssl	information-gathering		libcrypto3-udeb,libssl-dev,libssl-doc,libssl3-udeb,libssl3t64,openssl,openssl,openssl-provider-fips,openssl-provider-legacy	Secure Sockets Layer toolkit - cryptographic utility This package is part of the OpenSSL project’s implementation of the SSL and TLS cryptographic protocols for secure communication over the Internet. It contains the general-purpose command line binary /usr/bin/openssl, useful for cryptographic operations such as:	https://www.kali.org/tools/openssl/
opentaxii	opentaxii	utils		opentaxii,opentaxii-add-api-root,opentaxii-add-collection,opentaxii-create-account,opentaxii-delete-blocks,opentaxii-job-cleanup,opentaxii-run-dev,opentaxii-sync-data,opentaxii-update-account,opentaxii-doc	TAXII server implementation from EclecticIQ This package contains a robust Python implementation of TAXII Services that delivers rich feature set and friendly pythonic API built on top of well designed application. OpenTAXII is guaranteed to be compatible with Cabby, TAXII client library.	https://www.kali.org/tools/opentaxii/
openvpn	openvpn	utils		openvpn,openvpn	Virtual private network daemon OpenVPN is an application to securely tunnel IP networks over a single UDP or TCP port. It can be used to access remote sites, make secure point-to-point connections, enhance wireless security, etc. OpenVPN uses all of the encryption, authentication, and certification features provided by the OpenSSL library (any cipher, key size, or	https://www.kali.org/tools/openvpn/
